gene,control_rep2,exp_rep1,control_rep1,exp_rep2,exp_rep3,control_rep3
ENSG00000157330.10,33,32,43,27,31,56
ENSG00000116726.5,8,5,5,11,6,6
ENSG00000116721.9,1,2,2,1,1,1
ENSG00000228338.1,0,0,0,0,0,0
ENSG00000239810.3,0,0,0,0,0,1
ENSG00000231103.2,0,0,0,0,0,0
ENSG00000179172.10,10,10,8,13,21,15
ENSG00000120952.4,0,3,0,0,1,0
ENSG00000243073.4,0,0,0,0,0,0
ENSG00000187545.5,0,0,0,0,0,0
ENSG00000204510.6,0,0,0,0,0,0
ENSG00000207434.1,0,0,0,0,0,0
ENSG00000234064.1,0,0,0,0,0,0
ENSG00000232423.6,0,0,0,0,0,0
ENSG00000274178.2,1,1,0,0,0,0
ENSG00000274764.6,0,0,0,0,0,0
ENSG00000277058.3,0,1,3,1,1,1
ENSG00000229571.7,0,0,0,0,0,0
ENSG00000277862.1,0,0,0,0,0,0
ENSG00000236179.1,0,0,0,0,0,0
ENSG00000275774.3,1,0,1,0,0,2
ENSG00000229978.2,0,0,0,0,0,0
ENSG00000290772.1,0,0,0,0,0,0
ENSG00000233336.1,0,0,0,0,0,0
ENSG00000280267.7,0,0,0,0,0,0
ENSG00000179412.11,8,6,4,7,8,4
ENSG00000204505.5,0,0,0,0,0,0
ENSG00000279169.3,0,0,1,0,0,0
ENSG00000279804.3,0,0,0,0,0,0
ENSG00000250894.1,0,0,0,0,0,0
ENSG00000270601.5,0,0,1,0,0,0
ENSG00000231219.1,0,0,0,0,0,0
ENSG00000207511.1,0,0,0,0,0,0
ENSG00000182330.11,0,0,2,0,0,0
ENSG00000237700.2,0,0,0,0,0,0
ENSG00000204501.7,0,0,0,0,0,0
ENSG00000228229.2,0,0,0,0,0,0
ENSG00000204481.8,0,1,3,3,0,2
ENSG00000204480.9,0,0,0,0,0,0
ENSG00000204479.4,0,0,0,0,0,0
ENSG00000204478.11,0,3,0,0,0,0
ENSG00000162494.6,88,74,126,69,96,133
ENSG00000259961.1,0,0,0,1,0,1
ENSG00000215909.3,0,0,1,0,0,0
ENSG00000162493.17,1192,615,1390,757,1424,1633
ENSG00000222952.1,0,0,0,0,0,0
ENSG00000237445.2,0,0,0,0,0,0
ENSG00000253085.1,0,0,0,0,0,0
ENSG00000116731.23,3601,4685,4244,4852,3971,4963
ENSG00000289380.1,0,1,1,1,0,0
ENSG00000189337.17,738,840,922,937,1009,1205
ENSG00000252151.1,0,0,0,0,0,0
ENSG00000231606.2,0,0,0,1,0,0
ENSG00000234593.3,0,0,0,0,0,0
ENSG00000235829.1,0,0,0,0,0,0
ENSG00000287756.1,0,0,0,0,0,0
ENSG00000175147.13,48,63,68,91,48,86
ENSG00000171729.14,1056,1486,1301,1609,1363,1568
ENSG00000204464.7,2,0,0,0,0,1
ENSG00000215720.4,0,1,0,0,0,1
ENSG00000278480.1,2,1,4,4,2,1
ENSG00000142621.21,234,239,255,260,274,287
ENSG00000233485.1,0,0,0,1,0,0
ENSG00000236045.1,3,4,6,7,7,7
ENSG00000228140.2,4,4,11,13,9,10
ENSG00000142634.13,1524,1571,1600,1598,2004,2139
ENSG00000162438.12,0,0,0,0,0,0
ENSG00000142615.8,0,3,2,1,1,1
ENSG00000215704.10,4,11,3,7,15,5
ENSG00000132906.18,983,1123,1110,1216,1222,1407
ENSG00000116138.13,2186,3133,2873,3260,2637,3322
ENSG00000251866.1,0,0,1,0,0,0
ENSG00000272510.1,0,1,3,0,1,0
ENSG00000116771.6,710,830,756,751,813,1010
ENSG00000237301.1,2,5,6,8,5,9
ENSG00000235084.3,11,10,11,11,20,9
ENSG00000252417.1,0,0,0,0,0,0
ENSG00000236500.1,0,0,0,0,0,0
ENSG00000197312.13,4638,6243,5857,6689,4694,6623
ENSG00000215695.2,0,1,0,0,1,0
ENSG00000271742.1,0,0,0,0,1,1
ENSG00000116786.13,4721,4835,5118,5097,5797,6563
ENSG00000237938.5,2,11,6,3,1,9
ENSG00000162461.8,5,10,18,20,18,24
ENSG00000224459.2,0,0,0,0,0,0
ENSG00000162460.7,51,63,60,74,83,85
ENSG00000162458.13,8750,11407,9885,11879,11611,12388
ENSG00000224321.1,22,24,16,33,41,39
ENSG00000233954.7,798,980,914,1168,1226,1065
ENSG00000178715.8,49,49,49,75,83,58
ENSG00000179743.4,199,195,217,191,198,223
ENSG00000065526.13,7941,9815,9181,9807,7958,10549
ENSG00000270620.1,0,0,1,0,0,0
ENSG00000116809.12,1789,1977,1915,2042,2325,2649
ENSG00000234607.2,0,0,0,0,0,0
ENSG00000231353.1,0,0,0,0,0,0
ENSG00000275503.1,0,0,0,0,0,0
